,SamplingRound,Site,LeafName,IsoFlux,A,Ratio,SamplingTime
1,Jun9-Jun30,HF,QURU1,0.2237713978,4.650897401,0.04811359583,11:38:00 
2,Jun9-Jun30,HF,QURU2,0.1679547162,3.667595446,0.04579423185,11:47:00 
3,Jun9-Jun30,HF,QURU3,0.3917235723,2.288611871,0.1711620818,NA
4,Jun9-Jun30,HF,QURU4,0.6294482855,10.48799624,0.06001606703,9:39:00 
5,Jun9-Jun30,HF,QURU5,0.2921069683,5.429696388,0.05379802984,9:34:00 
6,Jun9-Jun30,HF,QURU6,0.6721916079,7.218468848,0.09312107901,9:50:00 
7,Jun9-Jun30,AA,QURU1,0.631789955,6.256545752,0.1009806337,10:44:00 
8,Jun9-Jun30,AA,QURU2,0.4838892193,6.719059507,0.07201740344,11:06:00 
9,Jun9-Jun30,AA,QURU3,0.4086366492,4.230373477,0.09659588011,12:19:00 
10,Jun9-Jun30,AA,QURU4,NA,NA,NA,9:30:00 
11,Jun9-Jun30,AA,QURU5,0.4152656605,7.287127667,0.05698619257,10:07:00 
12,Jun9-Jun30,AA,QURU6,0.2426539776,8.827097495,0.02748966779,10:26:00 
13,Jun9-Jun30,BRF,QURU1,0.2119168665,6.999880152,0.0302743564,9:48:00 
14,Jun9-Jun30,BRF,QURU2,0.3189568518,7.061858082,0.04516613731,10:05:00 
15,Jun9-Jun30,BRF,QURU3,0.6687248811,9.71915934,0.06880480685,9:22:00 
16,Jun9-Jun30,BRF,QURU4,0.1153197437,4.450534465,0.02591143706,10:06:00 
17,Jun9-Jun30,BRF,QURU5,NA,NA,NA,10:58:00 
18,Jun9-Jun30,BRF,QURU6,0.1927300833,0.2168725182,0.8886791419,10:40:00 
19,Jun9-Jun30,NYBG,QURU1,0.8938166735,10.12012348,0.08832072799,10:25:00 
20,Jun9-Jun30,NYBG,QURU2,0.7029279041,13.72482578,0.05121579796,10:30:00 
21,Jun9-Jun30,NYBG,QURU3,0.8422270197,6.194114065,0.1359721521,10:03:00 
22,Jun9-Jun30,NYBG,QURU4,NA,NA,NA,10:27:00 
23,Jun9-Jun30,NYBG,QURU5,0.3703350327,5.460415965,0.06782176212,10:40:00 
24,Jun9-Jun30,NYBG,QURU6,0.4003031166,5.903876162,0.06780344059,10:48:00 
